"item_id","subsystem","part_name","specification","qty_build","qty_procure","unit","material_or_source","fabrication","finished_dimension_mm","interface_or_hole_note","scope","critical_acceptance","substitute_or_note"
"WT-010","A24 wet module","load-cell reservoir plate","aluminum 3 mm","1","1","pcs","aluminum sheet","cut/drill","90x90x3","reservoir centered; no bypass straps","P0","only load-cell path supports full reservoir","vendor weighing platform"
"WT-011","A24 wet module","demonstration reservoir","0.5 L translucent bottle with cap","1","2","pcs","purchased food-safe container","add outlet only after leak test","≤80 dia x 150 H target","one soft outlet to master clamp; below L3 elevation","P0","cap secure; full bottle stable on scale","0.3-0.5 L laboratory wash bottle body"
"WT-012","A24 wet module","single-point load cell","1 kg class plus HX711","1","2","pcs","purchased","none","real module","mounted between WT-009 and WT-010","P0","stable baseline with service loop attached","2 kg cell if reservoir tare requires"
"WT-013","A24 wet module","micro peristaltic pump PUMP_L1","12 V; tube replaceable; matched model","1","2","pcs","purchased","none","real module","dedicated blue branch to L1","P0","pump-off no siphon; calibrated mass flow","same model as L2/L3"
"WT-014","A24 wet module","micro peristaltic pump PUMP_L2","12 V; tube replaceable; matched model","1","2","pcs","purchased","none","real module","dedicated yellow branch to L2","P0","pump-off no siphon; calibrated mass flow","same model as L1/L3"
"WT-015","A24 wet module","micro peristaltic pump PUMP_L3","12 V; tube replaceable; matched model","1","2","pcs","purchased","none","real module","dedicated red branch to L3","P0","pump-off no siphon; calibrated mass flow","same model as L1/L2"
"WT-016","A24 wet module","pump clamp bracket","matched to real pump","3","4","pcs","aluminum/PETG","transfer cut or print","TBD from pump","rubber isolation strip under bracket","P0","pump cannot twist or touch load-cell plate","stainless worm clamp over rubber saddle"
"WT-017","A24 wet module","passive 1-to-3 inlet manifold","tube-size matched","1","2","pcs","purchased PP/POM","none","real part","after master clamp; before three pumps","P0","no air leak at branch junction","three independent reservoir dip tubes if weighing bias passes"
"WT-018","A24 wet module","inline check valve","low cracking pressure; tube-size matched","3","6","pcs","purchased","none","real part","one after each pump; flow arrow color-labeled","P0","no crossflow or drain-back during 10 min hold","verified pinch-off pump head if check valve unavailable"
"WT-019","A24 wet module","manual master tube clamp","tube-size matched","1","2","pcs","purchased","none","real part","between reservoir and manifold","P0","operator can stop all water without power","hemostat only as emergency spare not installed part"
"WT-020","A24 wet module","manual branch tube clamp","tube-size matched","3","6","pcs","purchased","none","real part","one color-labeled clamp per branch","P0","allows dry quick-disconnect and fault isolation","omittable only after no-siphon test is recorded"
"WT-021","A24 wet module","silicone pump/water tube","matched ID/OD; soft service loop","4","6","m","purchased food/lab-grade","cut after routing","route-specific","minimum bend radius per tube; no load on scale","P0","no kink through full service motion","manufacturer-approved pump tube for pump-head section"
"WT-022","A24 wet module","color sleeve/heat-shrink set","blue/yellow/red","1","2","sets","purchased","cut to fit","route-specific","mark both ends and mid-span of every branch","P0","branch identity visible without software","colored tube"
"WT-023","A24 wet module","dry-break or Luer quick-connect pair","tube-size matched","3","6","pairs","purchased","none","real part","one pair per cartridge port; color-coded","P0","three connections survive 20 cycles without drip","barbed union plus branch clamp"
"WT-024","A24 wet module","cable and hose saddle","adhesive/screw type","12","18","pcs","purchased","none","standard","all saddles remain over spill tray","P0","no tube can fall into dry bay","printed clip with screw"
"CT-001","A23 cartridge x3","front clear plate","polycarbonate 4 mm","3","4","pcs","clear polycarbonate","laser/CNC cut and deburr","300x280x4","M4 perimeter holes; no port holes","P0","no crack/white stress at fasteners","cast acrylic only if guarded and handling risk accepted"
"CT-002","A23 cartridge x3","rear clear plate","polycarbonate 4 mm","3","4","pcs","clear polycarbonate","laser/CNC cut and deburr","300x280x4","M4 perimeter holes; three port holes at x=150,y=90/155/220 after fitting trial","P0","flat sealing face; no port leakage","cast acrylic only if guarded"
"CT-003","A23 cartridge x3","top/bottom spacer bar","HDPE 30 mm thick","6","8","pcs","HDPE stock","mill/router cut","300x20x30","through-bolt clearance holes matched to plate","P0","joint face flat; top bar removable for refill","POM or bonded acrylic spacer"
"CT-004","A23 cartridge x3","left/right spacer bar","HDPE 30 mm thick","6","8","pcs","HDPE stock","mill/router cut","240x20x30","through-bolt clearance holes matched to plate","P0","forms 260x240 internal window","POM or bonded acrylic spacer"
"CT-005","A23 cartridge x3","silicone frame gasket","2 mm silicone sheet","6","8","pcs","silicone rubber","knife/laser cut per material safety","outer 300x280; window 260x240; t=2","M4 perimeter holes","P0","continuous gasket; no glass sealant substitution","EPDM sheet compatible with water/dye"
"CT-006","A23 cartridge x3","perimeter fastener set","M4x55 stainless with wide washers and Nyloc","48","64","sets","purchased","none","M4x55","16 sets per cartridge; diagonal tightening","P0","PC shows no whitening; 30 min leak test passes","longer bolt only after stack measurement"
"CT-007","A23 cartridge x3","bulkhead quick-connect body","matched to WT-023","9","12","pcs","purchased","none","real part","three per rear plate; gasket both sides if vendor requires","P0","no rotation after 20 connect cycles","bulkhead Luer lock fitting"
"CT-008","A23 cartridge x3","fixed side-hole outlet tube","OD 3-4 stainless blunt tube","9","12","pcs","304 stainless tube","cut, deburr, cap end, drill sides","length 40; four side holes Ø0.8-1.0 trial","connect to rear bulkhead; holes 5-15 from capped end","P0","no burr; no clog in same-batch sand trial","rigid PTFE tube with perforated sleeve"
"CT-009","A23 cartridge x3","cartridge carry handle","folding handle or webbing handle","6","8","pcs","purchased","none","small","two per cartridge; fasten only through perimeter frame","P0","supports filled cartridge with 2x safety margin","hand slots in HDPE top bar"
"CT-010","A23 cartridge x3","fiducial/depth-scale set","four corner marks plus 0-220 scale and cartridge_id","3","4","sets","matte vinyl print","print/cut","fit 300x280 frame","do not cover clear ROI","P0","all four markers detected under fixed light","laser-etched scale plus replaceable ID label"
"CT-011","A23 cartridge x3","same-batch washed sand","dry and sieved; exact batch recorded","8","12","kg","local material","dry and store sealed","batch dependent","fill mass recorded per cartridge","P0","no unverified agricultural claim; consistent preparation","clean demonstration sand with documented source"
"OP-001","A33 optical","matte white backboard","white PVC/PP 3 mm","1","1","pcs","sheet stock","laser/CNC cut","300x280x3","three fitting-clearance holes by transfer; 20-30 behind cartridge","P0","no glossy hotspot in ROI","matte white card on rigid backing"
"OP-002","A32 optical","diffused LED bar","5000 K; CRI≥90; 250 mm","2","3","pcs","purchased","none","250 length","left/right at approx 45 degrees","P0","stable brightness; no saturated reflection","LED strip in aluminum diffuser channel"
"OP-003","A32 optical","45-degree light bracket","for 250 mm LED bar","2","3","pcs","aluminum angle","cut/drill","250 length","slotted adjustment; lock after calibration","P0","does not enter camera ROI","printed PETG bracket away from heat"
"OP-004","A31 optical","UVC camera","1080p; focus/exposure lock capable","1","2","pcs","purchased","none","real module","lens nominal x200,y-270,z280","P0","covers full 260x240 ROI at 350±20 working distance","RDK-compatible USB camera validated before build"
"OP-005","A31 optical","camera ball head or slotted clamp","small locking mount","1","2","pcs","purchased","none","real part","mount to PN-011","P0","pitch stays fixed after ten light touches","two-axis aluminum bracket"
"OP-006","A31 optical","short matte lens hood","camera-matched","1","2","pcs","black EVA/PETG","cut or print","TBD from camera","must not cover corner fiducials","P0","suppresses side glare without vignetting","black card hood"
"OP-007","A31 optical","USB cable with strain relief","2 m or shortest sufficient","1","2","pcs","purchased","none","route-specific","route high into dry bay; no wet low loop entering electronics","P0","camera remains enumerated after cable wiggle test","active cable only if RDK validation passes"
"DR-001","A42 dry bay","M3 insulated standoff set","10 mm height","16","24","sets","purchased nylon/brass","none","M3x10","module pattern transferred from real parts","P0","no board underside touches plate","mixed standoff kit"
"DR-002","A41 dry bay","high cable gland/grommet","M16/M20 split gland","2","4","pcs","purchased","none","real part","partition crossing only at Z≥380","P0","edge cannot cut USB/TTL cables","rubber edge trim plus removable sealant"
"DR-003","A44 controls","locking mushroom E-stop mechanical mount","22 mm panel type","1","2","pcs","purchased","panel hole by real part","Ø22 nominal","upper dry front panel","P0","latches and can be reached without crossing wet bay","vendor-compatible 22 mm E-stop"
"DR-004","A44 controls","Start pushbutton mechanical mount","22 mm green momentary","1","2","pcs","purchased","panel hole by real part","Ø22 nominal","≥55 center distance from other controls","P0","distinct color/label/feel","16 mm industrial button"
"DR-005","A44 controls","Reset pushbutton mechanical mount","22 mm white/blue momentary","1","2","pcs","purchased","panel hole by real part","Ø22 nominal","≥55 center distance from other controls","P0","cannot be confused with Start","key reset if available"
"DR-006","A44 dry bay","fan guard and filter frame","for selected 40/60 mm fan","1","2","sets","purchased","panel cut after fan selection","TBD","intake low/rear; exhaust high/rear","P0","no liquid path from wet bay","passive vents if thermal test passes"
"REF-001","reference module","RDK X5 envelope placeholder","measure actual board, heatsink and connectors","1","1","pcs","existing hardware","no fabrication","TBD real part","mount on PN-010; USB side clearance ≥55","P0","paper mock-up approved before drilling","not a mechanical purchase decision"
"REF-002","reference module","STM32F407 envelope placeholder","measure actual dev board and USB-TTL cable","1","1","pcs","existing hardware","no fabrication","TBD real part","mount on PN-010","P0","program/debug connector remains accessible","not a mechanical purchase decision"
"REF-003","reference module","powered USB hub envelope placeholder","RDK-compatible; no backfeed","1","1","pcs","hardware owner selection","no fabrication","TBD real part","mount on PN-010 with strain relief","P0","all required USB devices enumerate after wiggle test","direct ports if count and power permit"
"ALT-V-001","alternative water path","single peristaltic pump","replaces WT-013/014/015 only with ALT valves","0","1","pcs","purchased","none","real part","pump before three-way outlet valve bank","ALT only","8 wet cycles with no wrong-layer drip","do not mix with three-pump P0 layout"
"ALT-V-002","alternative water path","normally-closed selection valve","one per L1/L2/L3","0","4","pcs","purchased","none","real part","three-valve bank after ALT-V-001","ALT only","power-off closed; dead-volume and crossflow tested","normally-closed pinch valve preferred"
"P1-Z-001","optional Z axis","vertical linear module","120-150 travel with manual release","0","1","pcs","purchased","none","real part","reserved M5 40x80 top pattern","P1 optional","20 dry plus 8 wet cycles before display","never blocks P0 fixed manifold"
"P1-Z-002","optional Z axis","clear full guard","polycarbonate 3 mm","0","1","set","polycarbonate sheet","cut after module selection","TBD","covers needle and screw; interlocked opening","P1 optional","no reachable pinch/needle point","remove entire Z module on any failure"
"P1-Z-003","optional Z axis","home and lower-limit bracket set","normally-closed sensors","0","1","set","aluminum plus purchased switches","transfer fabricate","TBD","independent Home and lower limit","P1 optional","wire break is a fault; manual needle extraction exists","not part of P0 BOM"
